,2013,2014,2015,2016,2017,2018,2019
"Adelanto city, California","31,206","32,522","32,961","33,249","33,952","34,070","34,049"
"Agoura Hills city, California","20,591","20,648","20,740","20,665","20,572","20,411","20,222"
"Alameda city, California","76,479","77,509","78,459","79,091","79,037","78,344","77,624"
"Albany city, California","19,187","19,434","19,662","19,713","20,076","19,885","19,696"
"Alhambra city, California","84,337","84,786","84,843","85,221","84,878","84,373","83,750"
"Aliso Viejo city, California","49,538","49,542","49,499","50,858","50,982","51,206","50,887"
"Alturas city, California","2,652","2,636","2,626","2,589","2,551","2,523","2,563"
"Amador City city, California",180,182,186,188,189,190,190
"American Canyon city, California","20,224","20,285","20,317","20,268","20,055","20,211","20,475"
"Anaheim city, California","343,832","344,604","348,251","350,013","350,476","350,698","350,365"
"Anderson city, California","10,123","10,188","10,179","10,193","10,369","10,486","10,630"
"Angels city, California","3,731","3,735","3,755","3,849","3,881","3,911","3,956"
"Antioch city, California","107,351","109,071","110,308","111,088","111,494","111,578","111,502"
"Apple Valley town, California","70,706","71,141","71,747","72,262","72,871","73,349","73,453"
"Arcadia city, California","57,215","57,513","57,835","58,238","58,374","58,385","57,939"
"Arcata city, California","17,860","17,869","17,945","18,100","18,148","18,246","18,431"
"Arroyo Grande city, California","17,696","17,859","18,027","18,051","18,057","18,037","17,976"
"Artesia city, California","16,679","16,755","16,835","16,826","16,808","16,702","16,601"
"Arvin city, California","20,260","20,498","20,741","20,997","21,124","21,446","21,851"
"Atascadero city, California","29,000","29,329","29,910","30,173","30,316","30,257","30,075"
"Atherton town, California","7,087","7,127","7,163","7,234","7,215","7,178","7,137"
"Atwater city, California","28,712","28,861","29,048","29,196","29,270","29,415","29,559"
"Auburn city, California","13,818","13,878","13,868","13,919","13,971","14,078","14,195"
"Avalon city, California","3,761","3,768","3,769","3,758","3,743","3,712","3,681"
"Avenal city, California","14,133","13,257","13,236","12,434","12,407","13,218","13,496"
"Azusa city, California","47,889","48,561","49,502","49,683","49,799","49,811","49,974"
"Bakersfield city, California","362,834","366,954","371,348","374,699","377,940","381,714","384,145"
"Baldwin Park city, California","76,364","76,375","76,427","76,219","75,948","75,572","75,251"
"Banning city, California","30,429","30,612","30,761","30,963","31,160","31,235","31,221"
"Barstow city, California","23,301","23,484","23,689","23,894","23,981","23,944","23,915"
"Beaumont city, California","40,337","41,994","43,479","45,156","46,848","49,126","51,063"
"Bell city, California","35,847","35,874","35,892","35,756","35,596","35,612","35,521"
"Bellflower city, California","77,404","77,532","77,794","77,581","77,326","76,906","76,435"
"Bell Gardens city, California","42,706","42,714","42,743","42,675","42,489","42,192","42,012"
"Belmont city, California","26,770","27,013","27,204","27,177","27,057","27,075","26,941"
"Belvedere city, California","2,121","2,134","2,128","2,123","2,116","2,109","2,104"
"Benicia city, California","27,578","27,827","28,029","28,126","28,255","28,282","28,240"
"Berkeley city, California","116,944","118,697","120,749","121,547","122,164","121,663","121,363"
"Beverly Hills city, California","34,308","34,363","34,386","34,402","34,242","34,051","33,792"
"Big Bear Lake city, California","5,127","5,159","5,201","5,232","5,264","5,271","5,279"
"Biggs city, California","1,689","1,692","1,690","1,695","1,706","1,716","1,879"
"Bishop city, California","3,832","3,815","3,772","3,728","3,722","3,728","3,747"
"Blue Lake city, California","1,238","1,238","1,248","1,266","1,263","1,258","1,245"
"Blythe city, California","19,868","19,268","19,202","19,786","19,705","19,964","19,682"
"Bradbury city, California","1,073","1,073","1,079","1,075","1,085","1,079","1,070"
"Brawley city, California","25,519","25,660","25,728","26,050","26,217","26,172","26,227"
"Brea city, California","40,906","41,265","41,693","42,392","42,574","43,484","43,255"
"Brentwood city, California","54,916","56,854","58,796","60,571","62,265","63,760","64,474"
"Brisbane city, California","4,453","4,602","4,712","4,711","4,702","4,683","4,671"
"Buellton city, California","4,978","5,036","5,069","5,097","5,094","5,090","5,102"
"Buena Park city, California","82,717","82,621","82,770","82,988","82,619","82,187","81,788"
"Burbank city, California","104,355","104,405","104,472","104,097","104,174","103,349","102,511"
"Burlingame city, California","29,928","30,258","30,458","30,439","30,588","30,434","30,889"
"Calabasas city, California","24,041","24,058","24,102","24,068","24,047","23,867","23,853"
"Calexico city, California","39,298","39,550","39,767","40,028","40,083","40,072","39,825"
"California City city, California","13,202","13,203","13,202","13,656","13,884","14,167","14,198"
"Calimesa city, California","8,201","8,380","8,493","8,621","8,807","8,944","9,160"
"Calipatria city, California","7,083","7,491","7,391","7,505","7,539","7,418","7,114"
"Calistoga city, California","5,256","5,274","5,285","5,285","5,241","5,300","5,247"
"Camarillo city, California","65,882","66,517","67,171","67,141","67,403","68,883","69,888"
"Campbell city, California","41,891","42,256","42,262","42,303","42,567","42,243","41,793"
"Canyon Lake city, California","10,861","10,945","11,007","11,095","11,188","11,251","11,280"
"Capitola city, California","10,066","10,114","10,166","10,178","10,152","10,073","10,010"
"Carlsbad city, California","110,665","111,609","112,662","113,265","114,477","115,518","115,382"
