table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places in California: April 1, 2010 to July 1, 2019",,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,
,Census,Estimates Base,2013,2014,2015,2016,2017,2018,2019
"Adelanto city, California","31,765","31,760","31,206","32,522","32,961","33,249","33,952","34,070","34,049"
"Agoura Hills city, California","20,330","20,336","20,591","20,648","20,740","20,665","20,572","20,411","20,222"
"Alameda city, California","73,812","73,812","76,479","77,509","78,459","79,091","79,037","78,344","77,624"
"Albany city, California","18,539","18,515","19,187","19,434","19,662","19,713","20,076","19,885","19,696"
"Alhambra city, California","83,089","83,119","84,337","84,786","84,843","85,221","84,878","84,373","83,750"
"Aliso Viejo city, California","47,823","47,674","49,538","49,542","49,499","50,858","50,982","51,206","50,887"
"Alturas city, California","2,827","2,827","2,652","2,636","2,626","2,589","2,551","2,523","2,563"
"Amador City city, California",185,182,180,182,186,188,189,190,190
"American Canyon city, California","19,454","19,560","20,224","20,285","20,317","20,268","20,055","20,211","20,475"
"Anaheim city, California","336,265","336,109","343,832","344,604","348,251","350,013","350,476","350,698","350,365"
"Anderson city, California","9,932","9,968","10,123","10,188","10,179","10,193","10,369","10,486","10,630"
"Angels city, California","3,836","3,812","3,731","3,735","3,755","3,849","3,881","3,911","3,956"
"Antioch city, California","102,372","102,745","107,351","109,071","110,308","111,088","111,494","111,578","111,502"
"Apple Valley town, California","69,135","69,146","70,706","71,141","71,747","72,262","72,871","73,349","73,453"
"Arcadia city, California","56,364","56,303","57,215","57,513","57,835","58,238","58,374","58,385","57,939"
"Arcata city, California","17,231","17,410","17,860","17,869","17,945","18,100","18,148","18,246","18,431"
"Arroyo Grande city, California","17,252","17,275","17,696","17,859","18,027","18,051","18,057","18,037","17,976"
"Artesia city, California","16,522","16,522","16,679","16,755","16,835","16,826","16,808","16,702","16,601"
"Arvin city, California","19,304","19,304","20,260","20,498","20,741","20,997","21,124","21,446","21,851"
