city,Year,Population
Adelanto city,2013,31206.0
Agoura Hills city,2013,20591.0
Alameda city,2013,76479.0
Albany city,2013,19187.0
Alhambra city,2013,84337.0
Aliso Viejo city,2013,49538.0
Alturas city,2013,2652.0
Amador City city,2013,180.0
American Canyon city,2013,20224.0
Anaheim city,2013,343832.0
Anderson city,2013,10123.0
Angels city,2013,3731.0
Antioch city,2013,107351.0
Apple Valley town,2013,70706.0
Arcadia city,2013,57215.0
Arcata city,2013,17860.0
Arroyo Grande city,2013,17696.0
Artesia city,2013,16679.0
Arvin city,2013,20260.0
Atascadero city,2013,29000.0
Atherton town,2013,7087.0
Atwater city,2013,28712.0
Auburn city,2013,13818.0
Avalon city,2013,3761.0
Avenal city,2013,14133.0
Azusa city,2013,47889.0
Bakersfield city,2013,362834.0
Baldwin Park city,2013,76364.0
Banning city,2013,30429.0
Barstow city,2013,23301.0
Beaumont city,2013,40337.0
Bell city,2013,35847.0
Bellflower city,2013,77404.0
Bell Gardens city,2013,42706.0
Belmont city,2013,26770.0
Belvedere city,2013,2121.0
Benicia city,2013,27578.0
Berkeley city,2013,116944.0
Beverly Hills city,2013,34308.0
Big Bear Lake city,2013,5127.0
Biggs city,2013,1689.0
Bishop city,2013,3832.0
Blue Lake city,2013,1238.0
Blythe city,2013,19868.0
Bradbury city,2013,1073.0
Brawley city,2013,25519.0
Brea city,2013,40906.0
Brentwood city,2013,54916.0
Brisbane city,2013,4453.0
Buellton city,2013,4978.0
Buena Park city,2013,82717.0
Burbank city,2013,104355.0
Burlingame city,2013,29928.0
Calabasas city,2013,24041.0
Calexico city,2013,39298.0
California City city,2013,13202.0
Calimesa city,2013,8201.0
Calipatria city,2013,7083.0
Calistoga city,2013,5256.0
Camarillo city,2013,65882.0
Campbell city,2013,41891.0
Canyon Lake city,2013,10861.0
Capitola city,2013,10066.0
Carlsbad city,2013,110665.0
Carmel-by-the-Sea city,2013,3780.0
Carpinteria city,2013,13460.0
Carson city,2013,92535.0
Cathedral City city,2013,52846.0
Ceres city,2013,46482.0
Cerritos city,2013,49507.0
Chico city,2013,88362.0
Chino city,2013,80799.0
Chino Hills city,2013,76285.0
Chowchilla city,2013,17357.0
Chula Vista city,2013,256691.0
Citrus Heights city,2013,84924.0
Claremont city,2013,35650.0
Clayton city,2013,11481.0
Clearlake city,2013,15015.0
Cloverdale city,2013,8716.0
Clovis city,2013,99631.0
Coachella city,2013,42960.0
Coalinga city,2013,16974.0
Colfax city,2013,1996.0
Colma town,2013,1484.0
Colton city,2013,53105.0
Colusa city,2013,6171.0
Commerce city,2013,12960.0
Compton city,2013,97600.0
Concord city,2013,125888.0
Corcoran city,2013,23350.0
Corning city,2013,7550.0
Corona city,2013,158763.0
Coronado city,2013,23347.0
Corte Madera town,2013,9469.0
Costa Mesa city,2013,112244.0
Cotati city,2013,7375.0
Covina city,2013,48350.0
Crescent City city,2013,7169.0
Cudahy city,2013,24050.0
Culver City city,2013,39312.0
Cupertino city,2013,60198.0
Cypress city,2013,48971.0
Daly City city,2013,104980.0
Dana Point city,2013,33962.0
Danville town,2013,43262.0
Davis city,2013,66213.0
Delano city,2013,52331.0
Del Mar city,2013,4273.0
Del Rey Oaks city,2013,1664.0
Desert Hot Springs city,2013,27817.0
Diamond Bar city,2013,56233.0
Dinuba city,2013,23233.0
Dixon city,2013,18931.0
Dorris city,2013,902.0
Dos Palos city,2013,5026.0
Downey city,2013,112858.0
Duarte city,2013,21646.0
Dublin city,2013,52027.0
Dunsmuir city,2013,1572.0
East Palo Alto city,2013,29212.0
Eastvale city,2013,56247.0
