city,2013,2014,2015,2016,2017,2018,2019
Adelanto city,31206,32522,32961,33249,33952,34070,34049
Agoura Hills city,20591,20648,20740,20665,20572,20411,20222
Alameda city,76479,77509,78459,79091,79037,78344,77624
Albany city,19187,19434,19662,19713,20076,19885,19696
Alhambra city,84337,84786,84843,85221,84878,84373,83750
Aliso Viejo city,49538,49542,49499,50858,50982,51206,50887
Alturas city,2652,2636,2626,2589,2551,2523,2563
Amador City city,180,182,186,188,189,190,190
American Canyon city,20224,20285,20317,20268,20055,20211,20475
Anaheim city,343832,344604,348251,350013,350476,350698,350365
Anderson city,10123,10188,10179,10193,10369,10486,10630
Angels city,3731,3735,3755,3849,3881,3911,3956
Antioch city,107351,109071,110308,111088,111494,111578,111502
Apple Valley town,70706,71141,71747,72262,72871,73349,73453
Arcadia city,57215,57513,57835,58238,58374,58385,57939
Arcata city,17860,17869,17945,18100,18148,18246,18431
Arroyo Grande city,17696,17859,18027,18051,18057,18037,17976
Artesia city,16679,16755,16835,16826,16808,16702,16601
Arvin city,20260,20498,20741,20997,21124,21446,21851
Atascadero city,29000,29329,29910,30173,30316,30257,30075
Atherton town,7087,7127,7163,7234,7215,7178,7137
Atwater city,28712,28861,29048,29196,29270,29415,29559
Auburn city,13818,13878,13868,13919,13971,14078,14195
Avalon city,3761,3768,3769,3758,3743,3712,3681
Avenal city,14133,13257,13236,12434,12407,13218,13496
Azusa city,47889,48561,49502,49683,49799,49811,49974
Bakersfield city,362834,366954,371348,374699,377940,381714,384145
Baldwin Park city,76364,76375,76427,76219,75948,75572,75251
Banning city,30429,30612,30761,30963,31160,31235,31221
Barstow city,23301,23484,23689,23894,23981,23944,23915
Beaumont city,40337,41994,43479,45156,46848,49126,51063
Bell city,35847,35874,35892,35756,35596,35612,35521
Bellflower city,77404,77532,77794,77581,77326,76906,76435
Bell Gardens city,42706,42714,42743,42675,42489,42192,42012
Belmont city,26770,27013,27204,27177,27057,27075,26941
Belvedere city,2121,2134,2128,2123,2116,2109,2104
Benicia city,27578,27827,28029,28126,28255,28282,28240
Berkeley city,116944,118697,120749,121547,122164,121663,121363
Beverly Hills city,34308,34363,34386,34402,34242,34051,33792
