city,2013,2014,2015,2016,2017,2018,2019
California,13827794,13906691,13985614,14075264,14172348,14275353,14366336
.Alameda County,589352,592396,595760,600467,605974,615030,622922
.Alpine County,1765,1764,1766,1769,1770,1778,1782
.Amador County,18241,18239,18249,18274,18318,18452,18625
.Butte County,96989,97517,98073,98692,99438,100074,86209
.Calaveras County,28024,28079,28143,27731,27917,28063,28181
.Colusa County,7892,7937,7983,8022,8056,8061,8125
.Contra Costa County,404915,406788,408729,411110,413957,415893,418707
.Del Norte County,11323,11334,11337,11362,11395,11418,11434
.El Dorado County,88683,88861,89020,89573,90320,91119,91660
.Fresno County,321458,324157,325987,328158,330920,333779,336473
.Glenn County,10893,10920,10947,10967,11021,11038,11098
.Humboldt County,62181,62353,62586,62792,63027,63331,63727
.Imperial County,56665,56958,57195,57484,57714,57871,58280
.Inyo County,9497,9512,9529,9541,9570,9593,9609
.Kern County,289153,291351,293527,295641,297819,300359,302898
.Kings County,44600,44836,45244,45808,46383,46636,46965
.Lake County,35612,35646,35679,34543,34695,34714,34572
.Lassen County,12730,12740,12742,12751,12762,12775,12784
.Los Angeles County,3473910,3488796,3504162,3525319,3542673,3561369,3579329
.Madera County,49669,49874,50074,50272,50570,50968,51438
.Marin County,111823,112338,112699,113028,113127,113185,113344
.Mariposa County,10315,10346,10371,10401,10425,10404,10445
.Mendocino County,40614,40715,40817,40919,41090,40907,41027
.Merced County,84060,84186,84327,84540,85266,85763,86388
.Modoc County,5225,5235,5244,5253,5259,5266,5276
.Mono County,13980,14003,14035,14071,14113,14134,14208
.Monterey County,139733,140156,140497,141033,141679,142461,143201
.Napa County,55110,55321,55455,55613,55826,55435,55647
.Nevada County,52940,53117,53406,53609,53864,54266,54809
.Orange County,1061560,1071573,1080462,1090560,1101613,1110839,1118110
.Placer County,156172,157421,159368,161500,163862,167085,168919
.Plumas County,15666,15698,15734,15767,15818,15870,15916
.Riverside County,813435,819390,826172,832169,839357,847661,857148
.Sacramento County,559945,561853,563611,566342,569623,574375,578937
.San Benito County,17979,18116,18215,18422,18871,19436,19979
.San Bernardino County,704913,708284,711634,715166,719171,725898,731400
.San Diego County,1179403,1187506,1194252,1203503,1213992,1224237,1233777
.San Francisco County,383113,387526,390124,393507,397476,401412,406413
.San Joaquin County,236448,237422,238530,240826,242746,245482,248636
.San Luis Obispo County,118512,119276,120242,121031,121880,122959,123963
.San Mateo County,272698,273518,274827,276278,278055,279453,280450
.Santa Barbara County,153977,154387,155142,156150,157006,158304,159246
.Santa Clara County,643833,651024,660436,665631,671004,678442,686266
.Santa Cruz County,104975,105247,105528,105831,106311,106725,107149
.Shasta County,77761,77907,78096,78469,78840,79192,78618
.Sierra County,2342,2343,2347,2347,2356,2361,2368
.Siskiyou County,24080,24035,23983,24061,24138,24208,24226
.Solano County,154210,154980,155621,156966,157905,158818,159806
.Sonoma County,206148,207146,207769,208324,209209,205114,208305
.Stanislaus County,180054,180317,180698,181055,181586,182276,182978
.Sutter County,34044,34102,34182,34337,34412,34484,34583
.Tehama County,27180,27258,27342,27427,27529,27681,27840
.Trinity County,8764,8786,8824,8854,8888,8955,9013
.Tulare County,144606,145467,146465,147688,148935,150162,151603
.Tuolumne County,31332,31370,31431,31478,31523,31613,31700
.Ventura County,283532,284558,285870,287180,288792,291006,291512
.Yolo County,75904,76705,76927,77251,77920,78496,79263
.Yuba County,27856,28001,28199,28401,28582,28667,29049
