county,Year,Population
California,2013,38260787
Alameda County,2013,1579593
Alpine County,2013,1128
Amador County,2013,36620
Butte County,2013,221641
Calaveras County,2013,44655
Colusa County,2013,21250
Contra Costa County,2013,1093401
Del Norte County,2013,27816
El Dorado County,2013,181481
Fresno County,2013,951514
Glenn County,2013,27809
Humboldt County,2013,134403
Imperial County,2013,176438
Inyo County,2013,18357
Kern County,2013,862000
Kings County,2013,150337
Lake County,2013,63796
Lassen County,2013,32129
Los Angeles County,2013,9992484
Madera County,2013,151370
Marin County,2013,258409
Mariposa County,2013,17809
Mendocino County,2013,87054
Merced County,2013,262026
Modoc County,2013,9145
Mono County,2013,14067
Monterey County,2013,426712
Napa County,2013,139580
Nevada County,2013,97938
Orange County,2013,3104950
Placer County,2013,365398
Plumas County,2013,18895
Riverside County,2013,2286755
Sacramento County,2013,1457341
San Benito County,2013,57239
San Bernardino County,2013,2082738
San Diego County,2013,3209768
San Francisco County,2013,839572
San Joaquin County,2013,702046
San Luis Obispo County,2013,275696
San Mateo County,2013,748661
Santa Barbara County,2013,434601
Santa Clara County,2013,1866425
Santa Cruz County,2013,268816
Shasta County,2013,178397
Sierra County,2013,3028
Siskiyou County,2013,43532
Solano County,2013,423659
Sonoma County,2013,494073
Stanislaus County,2013,523451
Sutter County,2013,94507
Tehama County,2013,62875
Trinity County,2013,13427
Tulare County,2013,452460
Tuolumne County,2013,53997
Ventura County,2013,838136
Yolo County,2013,206292
Yuba County,2013,73090
California,2014,38596972
Alameda County,2014,1607792
Alpine County,2014,1080
Amador County,2014,36726
Butte County,2014,223516
Calaveras County,2014,44671
Colusa County,2014,21176
Contra Costa County,2014,1108876
Del Norte County,2014,27175
El Dorado County,2014,183108
Fresno County,2014,960567
Glenn County,2014,27831
Humboldt County,2014,134494
Imperial County,2014,177974
Inyo County,2014,18292
Kern County,2014,869176
Kings County,2014,149495
Lake County,2014,64044
Lassen County,2014,31664
Los Angeles County,2014,10040072
Madera County,2014,153456
Marin County,2014,260359
Mariposa County,2014,17714
Mendocino County,2014,87225
Merced County,2014,264419
Modoc County,2014,9068
Mono County,2014,14134
Monterey County,2014,428475
Napa County,2014,140405
Nevada County,2014,98572
Orange County,2014,3126537
Placer County,2014,369217
Plumas County,2014,18622
Riverside County,2014,2316162
Sacramento County,2014,1474917
San Benito County,2014,57825
San Bernardino County,2014,2099181
San Diego County,2014,3248877
San Francisco County,2014,850750
San Joaquin County,2014,711579
San Luis Obispo County,2014,278227
San Mateo County,2014,757204
Santa Barbara County,2014,439045
Santa Clara County,2014,1891753
Santa Cruz County,2014,270861
Shasta County,2014,178844
Sierra County,2014,2972
Siskiyou County,2014,43338
Solano County,2014,429006
Sonoma County,2014,498560
Stanislaus County,2014,528015
Sutter County,2014,94778
Tehama County,2014,62801
Trinity County,2014,13128
Tulare County,2014,455138
Tuolumne County,2014,53851
Ventura County,2014,842297
Yolo County,2014,208398
Yuba County,2014,73533
California,2015,38918045
Alameda County,2015,1634538
Alpine County,2015,1077
Amador County,2015,37031
Butte County,2015,224631
Calaveras County,2015,44965
Colusa County,2015,21231
Contra Costa County,2015,1124405
Del Norte County,2015,27190
El Dorado County,2015,184569
Fresno County,2015,969488
Glenn County,2015,27753
Humboldt County,2015,135102
Imperial County,2015,178937
Inyo County,2015,18108
Kern County,2015,876031
Kings County,2015,150085
Lake County,2015,64260
Lassen County,2015,31256
Los Angeles County,2015,10085416
Madera County,2015,153576
Marin County,2015,260916
Mariposa County,2015,17622
Mendocino County,2015,87107
Merced County,2015,266353
Modoc County,2015,9056
Mono County,2015,14077
Monterey County,2015,430552
Napa County,2015,140862
Nevada County,2015,98676
Orange County,2015,3149280
Placer County,2015,372841
Plumas County,2015,18427
Riverside County,2015,2345816
Sacramento County,2015,1493674
San Benito County,2015,58216
San Bernardino County,2015,2115411
San Diego County,2015,3280850
San Francisco County,2015,863010
San Joaquin County,2015,722271
San Luis Obispo County,2015,280077
San Mateo County,2015,765055
Santa Barbara County,2015,442229
Santa Clara County,2015,1916285
Santa Cruz County,2015,273503
Shasta County,2015,178314
Sierra County,2015,2985
Siskiyou County,2015,43254
Solano County,2015,433409
Sonoma County,2015,500863
Stanislaus County,2015,533211
Sutter County,2015,95282
Tehama County,2015,63158
Trinity County,2015,13094
Tulare County,2015,457161
Tuolumne County,2015,53615
Ventura County,2015,845802
Yolo County,2015,212037
Yuba County,2015,74045
California,2016,39167117
Alameda County,2016,1650950
Alpine County,2016,1047
Amador County,2016,37429
Butte County,2016,226231
Calaveras County,2016,45322
Colusa County,2016,21496
Contra Costa County,2016,1137268
Del Norte County,2016,27382
El Dorado County,2016,185976
Fresno County,2016,976830
Glenn County,2016,27840
Humboldt County,2016,136290
Imperial County,2016,180179
Inyo County,2016,17922
Kern County,2016,880856
Kings County,2016,149382
Lake County,2016,63903
Lassen County,2016,30721
Los Angeles County,2016,10105708
Madera County,2016,153956
Marin County,2016,260562
Mariposa County,2016,17456
Mendocino County,2016,87285
Merced County,2016,267628
Modoc County,2016,8961
Mono County,2016,14273
Monterey County,2016,433953
Napa County,2016,140840
Nevada County,2016,98913
Orange County,2016,3164986
Placer County,2016,378943
Plumas County,2016,18665
Riverside County,2016,2380081
Sacramento County,2016,1510987
San Benito County,2016,59225
San Bernardino County,2016,2131960
San Diego County,2016,3306089
San Francisco County,2016,871512
San Joaquin County,2016,732809
San Luis Obispo County,2016,281803
San Mateo County,2016,767906
Santa Barbara County,2016,444340
Santa Clara County,2016,1928368
Santa Cruz County,2016,274396
Shasta County,2016,178571
Sierra County,2016,2951
Siskiyou County,2016,43376
Solano County,2016,438858
Sonoma County,2016,502547
Stanislaus County,2016,539255
Sutter County,2016,95742
Tehama County,2016,63453
Trinity County,2016,12828
Tulare County,2016,459235
Tuolumne County,2016,53770
Ventura County,2016,847323
Yolo County,2016,215627
Yuba County,2016,74952
California,2017,39358497
Alameda County,2017,1660196
Alpine County,2017,1111
Amador County,2017,38529
