time,month_factor,month_and_year_factor,latitude,longitude,county,county_factor,year,count,2m_temperature,total_precipitation,low_vegetation_cover,high_vegetation_cover,10m_wind_speed,volumetric_soil_water_layer_1,total_cloud_cover,housingdensity,population,populationdensity
1/1/2013,0,0,37.75,-122.25,Alameda,1,2013,0,45.88,0.0008,0.596,0.18,1.83,0.33,0.39,589352,1579593,2137.42
1/1/2013,0,0,38.5,-120.75,Amador,2,2013,0,41.4,0.0011,0.002,1,2.41,0.41,0.35,18241,36620,61.59
1/1/2013,0,0,40,-121.75,Butte,3,2013,0,39.93,0.0009,0.176,0.82,2.74,0.38,0.39,96989,221641,135.44
1/1/2013,0,0,38.5,-120.75,Calaveras,4,2013,0,37.85,0.0011,0.078,0.92,2.17,0.4,0.35,28024,44655,43.78
1/1/2013,0,0,39.25,-122.25,Colusa,5,2013,0,45.22,0.0007,0.392,0.57,1.82,0.32,0.38,7892,21250,18.47
1/1/2013,0,0,38,-122.25,Contra Costa,6,2013,0,45.4,0.0007,0.579,0.31,1.8,0.33,0.41,404915,1093401,1527.22
1/1/2013,0,0,41.75,-124,Del Norte,7,2013,0,41.47,0.0032,0.001,1,2.63,0.22,0.5,11323,27816,27.64
1/1/2013,0,0,39,-121,El Dorado,8,2013,0,33.78,0.0011,0.114,0.86,2.3,0.43,0.42,88683,181481,106.26
1/1/2013,0,0,37.25,-120.75,Fresno,9,2013,0,43.54,0.001,0.44,0.56,1.55,0.34,0.34,321458,951514,159.7
1/1/2013,0,0,39.75,-122.5,Glenn,10,2013,0,44.25,0.0006,0.636,0.36,1.84,0.34,0.39,10893,27809,21.16
1/1/2013,0,0,42,-124,Humboldt,11,2013,0,22.08,0.0012,0.688,0.3,1.78,0.25,0.57,62181,134403,37.67
1/1/2013,0,0,33.5,-116,Imperial,12,2013,0,54.65,0.0006,0.964,0.01,1.78,0.03,0.26,56665,176438,42.24
1/1/2013,0,0,38,-118.75,Inyo,13,2013,0,26.84,0.0006,0.864,0.09,1.56,0.17,0.29,9497,18357,1.8
1/1/2013,0,0,36,-120,Kern,14,2013,0,43.07,0.0007,0.699,0.29,1.97,0.17,0.33,289153,862000,106
1/1/2013,0,0,36.25,-120.25,Kings,15,2013,0,47.89,0.0005,0.778,0.22,1.52,0.26,0.34,44600,150337,108.2
1/1/2013,0,0,42,-123,Lake,16,2013,0,27.77,0.001,0.57,0.41,2.08,0.33,0.5,35612,63796,50.77
1/1/2013,0,0,40.75,-121,Lassen,17,2013,0,23.08,0.0007,0.757,0.21,1.82,0.33,0.51,12730,32129,7.08
1/1/2013,0,0,34.75,-119.25,Los Angeles,18,2013,0,52.82,0.0008,0.313,0.06,3.59,0.04,0.29,3473910,9992484,2462.49
1/1/2013,0,0,37.5,-120.25,Madera,19,2013,0,40.35,0.0011,0.286,0.71,1.62,0.37,0.32,49669,151370,70.83
1/1/2013,0,0,38,-124,Marin,20,2013,0,50.72,0.0008,0.012,0.15,5.81,0.03,0.45,111823,258409,496.64
1/1/2013,0,0,38,-120,Mariposa,21,2013,0,30.71,0.0014,0.371,0.61,1.91,0.41,0.33,10315,17809,12.29
1/1/2013,0,0,40,-124,Mendocino,22,2013,0,43.76,0.0009,0.005,0.72,2.6,0.29,0.49,40614,87054,24.83
1/1/2013,0,0,37.5,-121,Merced,23,2013,0,46.11,0.0008,0.676,0.31,1.54,0.31,0.35,84060,262026,135.42
1/1/2013,0,0,41.75,-121,Modoc,24,2013,0,19.01,0.001,0.879,0.11,2.21,0.32,0.52,5225,9145,2.33
1/1/2013,0,0,38.5,-119.75,Mono,25,2013,0,19.5,0.0009,0.669,0.28,1.91,0.34,0.36,13980,14067,4.61
1/1/2013,0,0,36.75,-124,Monterey,26,2013,0,52.27,0.001,0.059,0.09,5.7,0.05,0.51,139733,426712,130.07
1/1/2013,0,0,38.5,-122.5,Napa,27,2013,0,45.12,0.0006,0.033,0.97,1.68,0.34,0.39,55110,139580,186.51
1/1/2013,0,0,39.5,-121.25,Nevada,28,2013,0,32.8,0.0011,0.081,0.89,2.25,0.43,0.42,52940,97938,102.26
1/1/2013,0,0,33.75,-118,Orange,29,2013,0,54.49,0.0006,0.528,0.09,2.44,0.09,0.3,1061560,3104950,3927.48
1/1/2013,0,0,39.25,-121.25,Placer,30,2013,0,38.54,0.001,0.205,0.78,2.14,0.39,0.39,156172,365398,259.7
1/1/2013,0,0,40.5,-121.5,Plumas,31,2013,0,24.64,0.0011,0.156,0.82,2.2,0.45,0.46,15666,18895,7.46
1/1/2013,0,0,34,-117.5,Riverside,32,2013,0,47.55,0.0009,0.818,0.18,1.95,0.15,0.31,813435,2286755,317.32
1/1/2013,0,0,38.75,-121.5,Sacramento,33,2013,0,44.18,0.0007,0.489,0.5,1.62,0.34,0.38,559945,1457341,1510.76
1/1/2013,0,0,37,-121.5,San Benito,34,2013,0,45.53,0.0009,0.411,0.57,1.68,0.34,0.37,17979,57239,41.22
1/1/2013,0,0,36.25,-117.75,San Bernardino,35,2013,0,45.43,0.0005,0.914,0.06,2.09,0.04,0.27,704913,2082738,103.84
1/1/2013,0,0,33.25,-117.75,San Diego,36,2013,0,51.35,0.001,0.631,0.16,2.24,0.12,0.31,1179403,3209768,763.03
1/1/2013,0,0,38.25,-121.5,San Joaquin,37,2013,0,44.67,0.0009,0.508,0.47,1.61,0.33,0.35,236448,702046,504.59
1/1/2013,0,0,36,-124,San Luis Obispo,38,2013,0,53.14,0.0009,0.073,0.1,5.72,0.06,0.46,118512,275696,83.58
1/1/2013,0,0,37.75,-124,San Mateo,39,2013,0,51.81,0.0009,0.013,0.04,5.77,0.05,0.49,272698,748661,1669.59
1/1/2013,0,0,35,-123.75,Santa Barbara,40,2013,0,54.4,0.0012,0.013,0.06,6.15,0.03,0.4,153977,434601,158.9
