,incident_name,incident_dateonly_extinguished,incident_dateonly_created,incident_acres_burned,incident_longitude,incident_latitude,city,incident_county,incident_id,incident_url
0,Bridge Fire,2018-01-09,2017-10-31,37,-122.309,40.774,Shasta Lake,Shasta,2ca11d45-8139-4c16-8af0-880d99b21e82,https://www.fire.ca.gov/incidents/2017/10/31/bridge-fire/
1,Pala Fire,2009-05-25,2009-05-24,122,1,1,Mumford,San Diego,8f61f461-552d-4538-b186-35ab030da416,https://www.fire.ca.gov/incidents/2009/5/24/pala-fire/
2,River Fire,2013-02-28,2013-02-24,406,-118.01651,36.602575,Lone Pine,Inyo,094719ba-a47b-4abb-9ec5-a506b2b9fd23,https://www.fire.ca.gov/incidents/2013/2/24/river-fire/
3,Fawnskin Fire,2013-04-22,2013-04-20,30,-116.941311,34.288877,Big Bear Lake,San Bernardino,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f,https://www.fire.ca.gov/incidents/2013/4/20/fawnskin-fire/
4,Gold Fire,2013-05-01,2013-04-30,274,-119.635004,37.116295,Auberry,Madera,357ffc13-bef9-48eb-810f-c5de851972eb,https://www.fire.ca.gov/incidents/2013/4/30/gold-fire/
5,Panther Fire,2013-05-09,2013-05-01,6965,-121.595555,40.190062,Forest Ranch,Tehama,53122f0f-fefc-4dbf-b2d8-566b42ced66d,https://www.fire.ca.gov/incidents/2013/5/1/panther-fire/
6,Silverado Fire,2013-05-01,2013-04-30,75,-122.350844,38.441792,Yountville,Napa,d8d1c943-7b5d-4885-9043-f41075d6eded,https://www.fire.ca.gov/incidents/2013/4/30/silverado-fire/
7,Yellow Fire,2013-05-03,2013-05-01,125,-122.655616,38.638828,Calistoga,Sonoma,64e4f81e-d872-44c4-ba8d-111fa77124ba,https://www.fire.ca.gov/incidents/2013/5/1/yellow-fire/
8,Summit Fire,2013-05-04,2013-05-01,3166,-116.941311,34.288877,Big Bear Lake,Riverside,a1b14be5-a8cf-4e40-8588-96becf4c5879,https://www.fire.ca.gov/incidents/2013/5/1/summit-fire/
9,Tres Pinos Fire,2013-05-03,2013-05-03,354,-120.937494,37.160346,Gustine,San Benito,ca68f3c4-4906-4952-b794-4531d7da8369,https://www.fire.ca.gov/incidents/2013/5/3/tres-pinos-fire/
