county,Year,Population,LandArea,PopulationDensity
Alpine County,2016,1047,739.02,1.41674109
Alpine County,2015,1077,739.02,1.45733539
Alpine County,2014,1080,739.02,1.46139482
Alpine County,2018,1089,739.02,1.47357311
Alpine County,2017,1111,739.02,1.503342264
Alpine County,2013,1128,739.02,1.526345701
Alpine County,2019,1129,739.02,1.527698844
Inyo County,2017,17868,10180.87,1.755056297
Inyo County,2016,17922,10180.87,1.760360362
Inyo County,2018,17946,10180.87,1.762717725
Inyo County,2019,18039,10180.87,1.771852504
Inyo County,2015,18108,10180.87,1.778629921
Inyo County,2014,18292,10180.87,1.796703032
Inyo County,2013,18357,10180.87,1.803087555
Modoc County,2018,8800,3917.77,2.246175758
Modoc County,2019,8841,3917.77,2.256640895
Modoc County,2017,8876,3917.77,2.265574549
Modoc County,2016,8961,3917.77,2.287270565
Modoc County,2015,9056,3917.77,2.311519053
Modoc County,2014,9068,3917.77,2.31458202
Modoc County,2013,9145,3917.77,2.334236058
Sierra County,2016,2951,953.21,3.095855058
Sierra County,2014,2972,953.21,3.11788588
Sierra County,2015,2985,953.21,3.131524008
Sierra County,2018,2997,953.21,3.14411305
Sierra County,2017,3002,953.21,3.149358483
Sierra County,2019,3005,953.21,3.152505744
Sierra County,2013,3028,953.21,3.176634739
Trinity County,2019,12285,3179.25,3.864118896
Trinity County,2018,12567,3179.25,3.952819061
Trinity County,2017,12726,3179.25,4.002830856
Trinity County,2016,12828,3179.25,4.034913895
Trinity County,2015,13094,3179.25,4.118581426
Trinity County,2014,13128,3179.25,4.129275773
Trinity County,2013,13427,3179.25,4.223323111
Mono County,2013,14067,3048.98,4.613674081
Mono County,2015,14077,3048.98,4.616953867
Mono County,2014,14134,3048.98,4.635648643
Mono County,2016,14273,3048.98,4.68123766
Mono County,2017,14354,3048.98,4.707803921
Mono County,2018,14403,3048.98,4.72387487
Mono County,2019,14444,3048.98,4.73732199
Lassen County,2019,30573,4541.18,6.732391141
Lassen County,2018,30618,4541.18,6.742300459
Lassen County,2016,30721,4541.18,6.764981789
Lassen County,2017,30920,4541.18,6.808802998
Lassen County,2015,31256,4541.18,6.882792578
Siskiyou County,2015,43254,6277.88,6.88990551
Siskiyou County,2014,43338,6277.88,6.903285823
Siskiyou County,2016,43376,6277.88,6.909338821
Siskiyou County,2013,43532,6277.88,6.934187974
Siskiyou County,2019,43539,6277.88,6.935303
Siskiyou County,2018,43550,6277.88,6.937055184
Siskiyou County,2017,43622,6277.88,6.948524024
Lassen County,2014,31664,4541.18,6.972637068
Lassen County,2013,32129,4541.18,7.075033361
Plumas County,2015,18427,2533.04,7.274658118
Plumas County,2014,18622,2533.04,7.351640716
Plumas County,2017,18660,2533.04,7.366642453
Plumas County,2016,18665,2533.04,7.368616366
Plumas County,2018,18741,2533.04,7.39861984
Plumas County,2019,18807,2533.04,7.424675489
Plumas County,2013,18895,2533.04,7.459416353
Mariposa County,2019,17203,1448.82,11.87380075
Mariposa County,2018,17405,1448.82,12.01322456
Mariposa County,2017,17414,1448.82,12.01943651
Mariposa County,2016,17456,1448.82,12.04842562
Mariposa County,2015,17622,1448.82,12.16300162
Mariposa County,2014,17714,1448.82,12.22650157
Mariposa County,2013,17809,1448.82,12.29207217
Colusa County,2014,21176,1150.73,18.40223163
Colusa County,2015,21231,1150.73,18.45002737
Colusa County,2013,21250,1150.73,18.46653863
Colusa County,2018,21418,1150.73,18.61253291
Colusa County,2016,21496,1150.73,18.68031597
Colusa County,2019,21547,1150.73,18.72463567
Colusa County,2017,21579,1150.73,18.7524441
Glenn County,2015,27753,1313.95,21.12180829
Glenn County,2013,27809,1313.95,21.16442787
Glenn County,2014,27831,1313.95,21.18117128
Glenn County,2016,27840,1313.95,21.18802085
Glenn County,2017,27926,1313.95,21.25347235
Glenn County,2018,27967,1313.95,21.28467598
Tehama County,2014,62801,2949.71,21.29056755
Tehama County,2013,62875,2949.71,21.31565476
Tehama County,2015,63158,2949.71,21.41159639
Tehama County,2016,63453,2949.71,21.51160623
Glenn County,2019,28393,1313.95,21.60888923
Tehama County,2017,63847,2949.71,21.64517868
Tehama County,2018,64018,2949.71,21.70315048
Tehama County,2019,65084,2949.71,22.06454194
Tuolumne County,2015,53615,2220.88,24.14133136
Tuolumne County,2016,53770,2220.88,24.21112352
Tuolumne County,2014,53851,2220.88,24.24759555
Tuolumne County,2017,53976,2220.88,24.30387954
Tuolumne County,2013,53997,2220.88,24.31333525
Tuolumne County,2018,54387,2220.88,24.48894132
Tuolumne County,2019,54478,2220.88,24.52991607
Mendocino County,2019,86749,3506.34,24.74061272
Mendocino County,2013,87054,3506.34,24.82759801
Mendocino County,2015,87107,3506.34,24.84271348
Mendocino County,2014,87225,3506.34,24.87636681
Mendocino County,2016,87285,3506.34,24.89347867
Mendocino County,2018,87401,3506.34,24.9265616
Mendocino County,2017,87576,3506.34,24.97647119
Del Norte County,2014,27175,1006.37,27.00299095
Del Norte County,2015,27190,1006.37,27.017896
Del Norte County,2017,27351,1006.37,27.17787692
Del Norte County,2016,27382,1006.37,27.2086807
Del Norte County,2018,27740,1006.37,27.56441468
Del Norte County,2019,27812,1006.37,27.63595894
Del Norte County,2013,27816,1006.37,27.63993362
Humboldt County,2013,134403,3567.98,37.66921339
Humboldt County,2014,134494,3567.98,37.69471802
Humboldt County,2015,135102,3567.98,37.86512256
Humboldt County,2019,135558,3567.98,37.99292597
Humboldt County,2018,136244,3567.98,38.18519162
Humboldt County,2016,136290,3567.98,38.19808407
Humboldt County,2017,136507,3567.98,38.2589028
San Benito County,2013,57239,1388.71,41.2173888
San Benito County,2014,57825,1388.71,41.63936315
San Benito County,2015,58216,1388.71,41.92091941
Imperial County,2013,176438,4176.6,42.24440933
Imperial County,2014,177974,4176.6,42.61217258
San Benito County,2016,59225,1388.71,42.647493
Imperial County,2015,178937,4176.6,42.8427429
Imperial County,2016,180179,4176.6,43.14011397
San Benito County,2017,60164,1388.71,43.32366009
Imperial County,2019,181215,4176.6,43.38816262
Imperial County,2018,181523,4176.6,43.46190681
Imperial County,2017,181649,4176.6,43.49207489
Calaveras County,2013,44655,1020.01,43.77898256
Calaveras County,2014,44671,1020.01,43.79466868
Calaveras County,2015,44965,1020.01,44.08290115
San Benito County,2018,61467,1388.71,44.26194094
Calaveras County,2016,45322,1020.01,44.43289772
Calaveras County,2017,45681,1020.01,44.78485505
Calaveras County,2018,45698,1020.01,44.80152155
Calaveras County,2019,45905,1020.01,45.00446074
San Benito County,2019,62808,1388.71,45.22758531
Shasta County,2015,178314,3775.4,47.23049213
Shasta County,2013,178397,3775.4,47.25247656
Shasta County,2016,178571,3775.4,47.29856439
Shasta County,2014,178844,3775.4,47.37087461
Shasta County,2017,179384,3775.4,47.51390581
Shasta County,2018,179709,3775.4,47.59998941
Shasta County,2019,180080,3775.4,47.69825714
Lake County,2013,63796,1256.46,50.77439791
Lake County,2016,63903,1256.46,50.85955781
Lake County,2014,64044,1256.46,50.97177785
Lake County,2017,64111,1256.46,51.02510227
Lake County,2015,64260,1256.46,51.14368941
Lake County,2018,64317,1256.46,51.18905496
Lake County,2019,64386,1256.46,51.24397116
Amador County,2013,36620,594.58,61.58969357
Amador County,2014,36726,594.58,61.76797067
Amador County,2015,37031,594.58,62.2809378
Amador County,2016,37429,594.58,62.95031787
Amador County,2017,38529,594.58,64.80036328
Amador County,2018,39405,594.58,66.27367217
Amador County,2019,39752,594.58,66.85727741
Madera County,2013,151370,2137.07,70.83062324
Madera County,2014,153456,2137.07,71.80672603
Madera County,2015,153576,2137.07,71.86287768
Madera County,2016,153956,2137.07,72.04069123
Madera County,2017,155423,2137.07,72.72714511
Madera County,2018,156882,2137.07,73.40985555
Madera County,2019,157327,2137.07,73.61808457
San Luis Obispo County,2013,275696,3298.56,83.58071401
San Luis Obispo County,2014,278227,3298.56,84.34801853
San Luis Obispo County,2015,280077,3298.56,84.90886932
San Luis Obispo County,2016,281803,3298.56,85.43212796
San Luis Obispo County,2017,282481,3298.56,85.6376722
San Luis Obispo County,2019,283111,3298.56,85.82866463
San Luis Obispo County,2018,283354,3298.56,85.90233314
Tulare County,2013,452460,4824.21,93.78944946
Tulare County,2014,455138,4824.21,94.34456626
Tulare County,2015,457161,4824.21,94.76390953
Tulare County,2016,459235,4824.21,95.19382448
Tulare County,2017,462308,4824.21,95.83081997
Tulare County,2018,464589,4824.21,96.3036435
Tulare County,2019,466195,4824.21,96.63654775
Nevada County,2013,97938,957.77,102.2562828
Nevada County,2014,98572,957.77,102.9182372
Nevada County,2015,98676,957.77,103.0268227
Nevada County,2016,98913,957.77,103.2742725
Nevada County,2017,99367,957.77,103.7482903
San Bernardino County,2013,2082738,20056.92,103.8413675
Nevada County,2018,99508,957.77,103.8955073
Nevada County,2019,99755,957.77,104.153398
San Bernardino County,2014,2099181,20056.92,104.6611843
San Bernardino County,2015,2115411,20056.92,105.4703813
