county,Year,Population
California,2013,"38,260,787"
Alameda County,2013,"1,579,593"
Alpine County,2013,"1,128"
Amador County,2013,"36,620"
Butte County,2013,"221,641"
Calaveras County,2013,"44,655"
Colusa County,2013,"21,250"
Contra Costa County,2013,"1,093,401"
Del Norte County,2013,"27,816"
El Dorado County,2013,"181,481"
Fresno County,2013,"951,514"
Glenn County,2013,"27,809"
Humboldt County,2013,"134,403"
Imperial County,2013,"176,438"
Inyo County,2013,"18,357"
Kern County,2013,"862,000"
Kings County,2013,"150,337"
Lake County,2013,"63,796"
Lassen County,2013,"32,129"
Los Angeles County,2013,"9,992,484"
Madera County,2013,"151,370"
Marin County,2013,"258,409"
Mariposa County,2013,"17,809"
Mendocino County,2013,"87,054"
Merced County,2013,"262,026"
Modoc County,2013,"9,145"
Mono County,2013,"14,067"
Monterey County,2013,"426,712"
Napa County,2013,"139,580"
Nevada County,2013,"97,938"
Orange County,2013,"3,104,950"
Placer County,2013,"365,398"
Plumas County,2013,"18,895"
Riverside County,2013,"2,286,755"
Sacramento County,2013,"1,457,341"
San Benito County,2013,"57,239"
San Bernardino County,2013,"2,082,738"
San Diego County,2013,"3,209,768"
San Francisco County,2013,"839,572"
San Joaquin County,2013,"702,046"
San Luis Obispo County,2013,"275,696"
San Mateo County,2013,"748,661"
Santa Barbara County,2013,"434,601"
Santa Clara County,2013,"1,866,425"
Santa Cruz County,2013,"268,816"
Shasta County,2013,"178,397"
Sierra County,2013,"3,028"
Siskiyou County,2013,"43,532"
Solano County,2013,"423,659"
Sonoma County,2013,"494,073"
Stanislaus County,2013,"523,451"
Sutter County,2013,"94,507"
Tehama County,2013,"62,875"
Trinity County,2013,"13,427"
Tulare County,2013,"452,460"
Tuolumne County,2013,"53,997"
Ventura County,2013,"838,136"
Yolo County,2013,"206,292"
Yuba County,2013,"73,090"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions All geographic boundaries for the 2019 population estimates are as of January 1, 2019 For population estimates methodology statements, see http://wwwcensusgov/programs-surveys/popest/technical-documentation/methodologyhtml",2013,
Suggested Citation:,2013,
"Annual Estimates of the Resident Population for Counties in California: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-06)",2013,
"Source: US Census Bureau, Population Division",2013,
Release Date: March 2020,2013,
California,2014,"38,596,972"
Alameda County,2014,"1,607,792"
Alpine County,2014,"1,080"
Amador County,2014,"36,726"
Butte County,2014,"223,516"
Calaveras County,2014,"44,671"
Colusa County,2014,"21,176"
Contra Costa County,2014,"1,108,876"
Del Norte County,2014,"27,175"
El Dorado County,2014,"183,108"
Fresno County,2014,"960,567"
Glenn County,2014,"27,831"
Humboldt County,2014,"134,494"
Imperial County,2014,"177,974"
Inyo County,2014,"18,292"
Kern County,2014,"869,176"
Kings County,2014,"149,495"
Lake County,2014,"64,044"
Lassen County,2014,"31,664"
Los Angeles County,2014,"10,040,072"
Madera County,2014,"153,456"
Marin County,2014,"260,359"
Mariposa County,2014,"17,714"
Mendocino County,2014,"87,225"
Merced County,2014,"264,419"
Modoc County,2014,"9,068"
Mono County,2014,"14,134"
Monterey County,2014,"428,475"
Napa County,2014,"140,405"
Nevada County,2014,"98,572"
Orange County,2014,"3,126,537"
Placer County,2014,"369,217"
Plumas County,2014,"18,622"
Riverside County,2014,"2,316,162"
Sacramento County,2014,"1,474,917"
San Benito County,2014,"57,825"
San Bernardino County,2014,"2,099,181"
San Diego County,2014,"3,248,877"
San Francisco County,2014,"850,750"
San Joaquin County,2014,"711,579"
San Luis Obispo County,2014,"278,227"
San Mateo County,2014,"757,204"
Santa Barbara County,2014,"439,045"
Santa Clara County,2014,"1,891,753"
Santa Cruz County,2014,"270,861"
Shasta County,2014,"178,844"
Sierra County,2014,"2,972"
Siskiyou County,2014,"43,338"
Solano County,2014,"429,006"
Sonoma County,2014,"498,560"
Stanislaus County,2014,"528,015"
Sutter County,2014,"94,778"
Tehama County,2014,"62,801"
Trinity County,2014,"13,128"
Tulare County,2014,"455,138"
Tuolumne County,2014,"53,851"
Ventura County,2014,"842,297"
Yolo County,2014,"208,398"
Yuba County,2014,"73,533"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions All geographic boundaries for the 2019 population estimates are as of January 1, 2019 For population estimates methodology statements, see http://wwwcensusgov/programs-surveys/popest/technical-documentation/methodologyhtml",2014,
Suggested Citation:,2014,
"Annual Estimates of the Resident Population for Counties in California: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-06)",2014,
"Source: US Census Bureau, Population Division",2014,
Release Date: March 2020,2014,
California,2015,"38,918,045"
Alameda County,2015,"1,634,538"
Alpine County,2015,"1,077"
Amador County,2015,"37,031"
Butte County,2015,"224,631"
Calaveras County,2015,"44,965"
Colusa County,2015,"21,231"
Contra Costa County,2015,"1,124,405"
Del Norte County,2015,"27,190"
El Dorado County,2015,"184,569"
Fresno County,2015,"969,488"
Glenn County,2015,"27,753"
Humboldt County,2015,"135,102"
Imperial County,2015,"178,937"
Inyo County,2015,"18,108"
Kern County,2015,"876,031"
Kings County,2015,"150,085"
Lake County,2015,"64,260"
Lassen County,2015,"31,256"
Los Angeles County,2015,"10,085,416"
Madera County,2015,"153,576"
Marin County,2015,"260,916"
Mariposa County,2015,"17,622"
Mendocino County,2015,"87,107"
Merced County,2015,"266,353"
Modoc County,2015,"9,056"
Mono County,2015,"14,077"
Monterey County,2015,"430,552"
Napa County,2015,"140,862"
Nevada County,2015,"98,676"
Orange County,2015,"3,149,280"
Placer County,2015,"372,841"
Plumas County,2015,"18,427"
Riverside County,2015,"2,345,816"
Sacramento County,2015,"1,493,674"
San Benito County,2015,"58,216"
San Bernardino County,2015,"2,115,411"
San Diego County,2015,"3,280,850"
San Francisco County,2015,"863,010"
San Joaquin County,2015,"722,271"
San Luis Obispo County,2015,"280,077"
San Mateo County,2015,"765,055"
